"species","lon","lat"
"Scinax ruber",-73.786389,10.113333
"Scinax ruber",-73.765556,10.2475
"Scinax ruber",-73.7925,10.193056
"Scinax ruber",-71.821861,6.357028
"Scinax ruber",-57.036675,5.943236
"Scinax ruber",-71.512286,3.839574
"Scinax ruber",-72.917502,-3.257886
"Scinax ruber",-74.7999,5.1518
"Scinax ruber",-71.802089,4.552425
"Scinax ruber",-61.38575,-1.927639
"Scinax ruber",-61.428413,10.605098
"Scinax ruber",-74.614389,6.056528
"Scinax ruber",-74.615889,6.166139
"Scinax ruber",-73.133583,-3.528156
"Scinax ruber",-70.430833,-3.778889
"Scinax ruber",-73.350194,7.085417
"Scinax ruber",-60.943913,-2.636732
"Scinax ruber",-54.897618,5.914956
"Scinax ruber",-78.537996,-3.113327
"Scinax ruber",-76.833019,8.579115
"Scinax ruber",-60.102505,-3.611459
"Scinax ruber",-73.074362,6.777955
"Scinax ruber",-70.620556,-3.789722
"Scinax ruber",-75.076259,9.496926
"Scinax ruber",-75.453218,9.677857
"Scinax ruber",-69.371324,-12.853522
"Scinax ruber",-69.361272,-12.892723
"Scinax ruber",-74.099828,10.788867
"Scinax ruber",-74.244878,10.892533
"Scinax ruber",-77.730217,-0.6947
"Scinax ruber",-74.77989,4.65991
"Scinax ruber",-71.154722,6.567778
"Scinax ruber",-74.249514,10.589842
"Scinax ruber",-74.282311,10.766217
"Scinax ruber",-74.656575,10.302697
"Scinax ruber",-74.180903,10.550889
"Scinax ruber",-74.315311,10.672447
"Scinax ruber",-69.136274,4.541219
"Scinax ruber",-54.67586,4.81413
"Scinax ruber",-54.61502,4.80262
"Scinax ruber",-69.13448,4.822165
"Scinax ruber",-73.454278,9.576684
"Scinax ruber",-73.460083,-4.110848
"Scinax ruber",-71,-10.09
"Scinax ruber",-71.16,-10.39
"Scinax ruber",-74.50277,5.04883
"Scinax ruber",-72.024972,4.172639
"Scinax ruber",-72.05828,5.227556
"Scinax ruber",-56.7637,-1.448428
"Scinax ruber",-72.089167,4.647778
"Scinax ruber",-79.61057,9.179644
"Scinax ruber",-77.283333,-0.5
"Scinax ruber",-74.94928,5.59632
"Scinax ruber",-76.657368,-0.283452
"Scinax ruber",-73.339722,7.421667
"Scinax ruber",-58.9086,4.2516
"Scinax ruber",-65.581512,-10.547897
"Scinax ruber",-75.0442,5.38327
"Scinax ruber",-66.295624,-11.488772
"Scinax ruber",-75.374567,7.50935
"Scinax ruber",-52.35718,4.18786
"Scinax ruber",-55.906204,-6.261595
"Scinax ruber",-73.038002,4.773
"Scinax ruber",-46.735556,-0.964722
"Scinax ruber",-46.749167,-1.048333
"Scinax ruber",-71.715556,4.837778
"Scinax ruber",-75.918548,-0.834669
"Scinax ruber",-74.369444,5.029167
"Scinax ruber",-73.289031,6.904869
"Scinax ruber",-71.83675,6.90789
"Scinax ruber",-76.237533,0.207511
"Scinax ruber",-73.860001,3.229
"Scinax ruber",-75.198889,6.584722
"Scinax ruber",-52.07192,4.10751
"Scinax ruber",-54.19142,3.96386
"Scinax ruber",-78.43402,-2.604356
"Scinax ruber",-74.512063,6.078823
"Scinax ruber",-74.551444,6.085944
"Scinax ruber",-74.522667,6.123222
"Scinax ruber",-75.03116,5.538389
"Scinax ruber",-60.068736,-2.361134
"Scinax ruber",-73.561389,7.286389
"Scinax ruber",-74.395421,6.464574
